Ld_con TotalCurrent(sat_dgate_tspace15) X,Ld_con TotalCurrent(sat_dgate_tspace15) Y
0,1.92047e-09
0.017,3.18575e-09
0.034,5.26793e-09
0.051,8.67777e-09
0.068,1.42294e-08
0.085,2.32065e-08
0.102,3.76076e-08
0.119,6.05013e-08
0.136,9.65264e-08
0.153,1.52568e-07
0.17,2.38646e-07
0.187,3.68986e-07
0.204,5.63246e-07
0.221,8.47715e-07
0.238,1.25622e-06
0.255,1.8307e-06
0.272,2.62074e-06
0.289,3.6827e-06
0.306,5.07787e-06
0.323,6.87119e-06
0.34,9.12966e-06
0.357,1.19215e-05
0.374,1.53147e-05
0.391,1.93787e-05
0.408,2.41823e-05
0.425,2.97958e-05
0.442,3.62914e-05
0.459,4.36042e-05
0.476,5.14582e-05
0.493,6.01176e-05
0.51,6.96105e-05
0.527,7.99218e-05
0.544,9.10247e-05
0.561,0.000102886
0.578,0.000115467
0.595,0.000128727
0.612,0.000142618
0.629,0.000157096
0.646,0.000172115
0.663,0.000187627
0.68,0.000203591
0.697,0.000219962
0.714,0.000236702
0.731,0.000253773
0.748,0.000271139
0.765,0.000288768
0.782,0.000306629
0.799,0.000324694
0.816,0.000342938
0.833,0.000361336
0.85,0.000379865
0.867,0.000398506
0.884,0.000417239
0.901,0.000436045
0.918,0.000454909
0.935,0.000473815
0.952,0.000492749
0.969,0.000511697
0.986,0.000530648
1,0.000546246

