Ld_con TotalCurrent(sat_dgate_tspace11) X,Ld_con TotalCurrent(sat_dgate_tspace11) Y
0,1.85347e-07
0.017,2.73497e-07
0.034,4.00243e-07
0.051,5.80352e-07
0.068,8.32912e-07
0.085,1.18181e-06
0.102,1.65581e-06
0.119,2.28814e-06
0.136,3.11525e-06
0.153,4.17512e-06
0.17,5.50508e-06
0.187,7.13979e-06
0.204,9.10973e-06
0.221,1.14405e-05
0.238,1.41529e-05
0.255,1.72644e-05
0.272,2.07899e-05
0.289,2.4744e-05
0.306,2.91424e-05
0.323,3.40032e-05
0.34,3.93487e-05
0.357,4.52053e-05
0.374,5.1605e-05
0.391,5.85854e-05
0.408,6.61901e-05
0.425,7.44698e-05
0.442,8.34849e-05
0.459,9.33172e-05
0.476,0.000104053
0.493,0.000115088
0.51,0.000126599
0.527,0.000138761
0.544,0.000151603
0.561,0.000165116
0.578,0.000179283
0.595,0.000194075
0.612,0.000209462
0.629,0.00022541
0.646,0.000241882
0.663,0.000258845
0.68,0.000276261
0.697,0.000294096
0.714,0.000312318
0.731,0.000330894
0.748,0.000349794
0.765,0.00036899
0.782,0.000388455
0.799,0.000408165
0.816,0.000428096
0.833,0.000448228
0.85,0.00046854
0.867,0.000489013
0.884,0.000509629
0.901,0.000530374
0.918,0.00055123
0.935,0.000572184
0.952,0.000593223
0.969,0.000614333
0.986,0.000635502
1,0.000652973

