Ld_con TotalCurrent(sat_dgate_tspace12) X,Ld_con TotalCurrent(sat_dgate_tspace12) Y
0,7.16463e-08
0.017,1.09095e-07
0.034,1.64966e-07
0.051,2.4753e-07
0.068,3.68231e-07
0.085,5.42527e-07
0.102,7.90712e-07
0.119,1.13855e-06
0.136,1.61745e-06
0.153,2.26399e-06
0.17,3.11867e-06
0.187,4.22379e-06
0.204,5.62106e-06
0.221,7.34935e-06
0.238,9.44309e-06
0.255,1.19317e-05
0.272,1.48402e-05
0.289,1.81904e-05
0.306,2.2003e-05
0.323,2.62991e-05
0.34,3.11024e-05
0.357,3.64404e-05
0.374,4.23455e-05
0.391,4.88557e-05
0.408,5.60142e-05
0.425,6.3873e-05
0.442,7.24956e-05
0.459,8.19712e-05
0.476,9.22785e-05
0.493,0.00010283
0.51,0.000113957
0.527,0.000125785
0.544,0.000138319
0.561,0.000151542
0.578,0.000165429
0.595,0.000179951
0.612,0.000195072
0.629,0.000210757
0.646,0.000226968
0.663,0.000243668
0.68,0.000260819
0.697,0.000278385
0.714,0.000296332
0.731,0.000314627
0.748,0.00033324
0.765,0.000352141
0.782,0.000371303
0.799,0.0003907
0.816,0.000410311
0.833,0.000430112
0.85,0.000450083
0.867,0.000470206
0.884,0.000490462
0.901,0.000510836
0.918,0.000531311
0.935,0.000551874
0.952,0.000572511
0.969,0.000593208
0.986,0.000613955
1,0.000631068

