Ld_con TotalCurrent(sat_dgate_tspace8) X,Ld_con TotalCurrent(sat_dgate_tspace8) Y
0,2.40827e-06
0.017,3.17236e-06
0.034,4.12566e-06
0.051,5.29494e-06
0.068,6.70503e-06
0.085,8.37771e-06
0.102,1.03311e-05
0.119,1.25793e-05
0.136,1.51328e-05
0.153,1.7999e-05
0.17,2.11831e-05
0.187,2.46888e-05
0.204,2.85195e-05
0.221,3.26789e-05
0.238,3.7172e-05
0.255,4.20057e-05
0.272,4.71892e-05
0.289,5.27351e-05
0.306,5.86591e-05
0.323,6.4981e-05
0.34,7.17245e-05
0.357,7.89178e-05
0.374,8.65933e-05
0.391,9.47873e-05
0.408,0.000103541
0.425,0.000112897
0.442,0.000122907
0.459,0.000133631
0.476,0.000145162
0.493,0.000157399
0.51,0.000169932
0.527,0.000182978
0.544,0.000196623
0.561,0.000210884
0.578,0.00022575
0.595,0.000241206
0.612,0.000257227
0.629,0.000273788
0.646,0.00029086
0.663,0.000308413
0.68,0.000326417
0.697,0.000344841
0.714,0.000363657
0.731,0.000382837
0.748,0.000402352
0.765,0.000422176
0.782,0.000442287
0.799,0.000462661
0.816,0.000483276
0.833,0.000504111
0.85,0.000525147
0.867,0.000546367
0.884,0.000567752
0.901,0.000589289
0.918,0.000610962
0.935,0.000632756
0.952,0.000654658
0.969,0.000676656
0.986,0.000698737
1,0.000716977

