Ld_con TotalCurrent(sat_dgate_tspace6) X,Ld_con TotalCurrent(sat_dgate_tspace6) Y
0,1.08973e-05
0.017,1.30506e-05
0.034,1.54671e-05
0.051,1.81507e-05
0.068,2.11035e-05
0.085,2.43258e-05
0.102,2.7817e-05
0.119,3.15762e-05
0.136,3.56024e-05
0.153,3.98954e-05
0.17,4.44559e-05
0.187,4.92856e-05
0.204,5.43881e-05
0.221,5.97686e-05
0.238,6.54346e-05
0.255,7.1396e-05
0.272,7.76651e-05
0.289,8.42574e-05
0.306,9.11911e-05
0.323,9.8488e-05
0.34,0.000106173
0.357,0.000114275
0.374,0.000122825
0.391,0.000131858
0.408,0.000141411
0.425,0.000151524
0.442,0.000162239
0.459,0.000173605
0.476,0.000185686
0.493,0.000198559
0.51,0.000211836
0.527,0.000225505
0.544,0.000239699
0.561,0.00025446
0.578,0.000269792
0.595,0.000285682
0.612,0.000302112
0.629,0.000319059
0.646,0.0003365
0.663,0.000354407
0.68,0.000372755
0.697,0.000391519
0.714,0.000410671
0.731,0.000430186
0.748,0.00045004
0.765,0.000470209
0.782,0.000490672
0.799,0.000511405
0.816,0.00053239
0.833,0.000553605
0.85,0.000575037
0.867,0.000596663
0.884,0.000618471
0.901,0.000640442
0.918,0.000662567
0.935,0.000684826
0.952,0.000707212
0.969,0.000729708
0.986,0.000752306
1,0.000770982

