Ld_con TotalCurrent(sat_dgate_tspace9) X,Ld_con TotalCurrent(sat_dgate_tspace9) Y
0,1.04827e-06
0.017,1.44192e-06
0.034,1.96044e-06
0.051,2.63223e-06
0.068,3.48748e-06
0.085,4.55673e-06
0.102,5.86927e-06
0.119,7.45169e-06
0.136,9.32682e-06
0.153,1.15132e-05
0.17,1.40252e-05
0.187,1.68736e-05
0.204,2.00666e-05
0.221,2.36109e-05
0.238,2.75128e-05
0.255,3.17793e-05
0.272,3.64194e-05
0.289,4.14442e-05
0.306,4.68686e-05
0.323,5.27111e-05
0.34,5.89946e-05
0.357,6.57469e-05
0.374,7.30001e-05
0.391,8.07915e-05
0.408,8.91627e-05
0.425,9.81605e-05
0.442,0.000107838
0.459,0.000118263
0.476,0.000129551
0.493,0.000141413
0.51,0.000153603
0.527,0.000166357
0.544,0.000179739
0.561,0.000193753
0.578,0.000208391
0.595,0.00022363
0.612,0.000239447
0.629,0.000255813
0.646,0.000272696
0.663,0.000290065
0.68,0.000307887
0.697,0.000326131
0.714,0.000344765
0.731,0.000363761
0.748,0.00038309
0.765,0.000402726
0.782,0.000422642
0.799,0.000442816
0.816,0.000463225
0.833,0.000483849
0.85,0.000504666
0.867,0.000525662
0.884,0.000546816
0.901,0.000568113
0.918,0.000589538
0.935,0.000611078
0.952,0.000632718
0.969,0.000654447
0.986,0.000676251
1,0.000694257

