Ld_con TotalCurrent(sat_dgate_tspace20) X,Ld_con TotalCurrent(sat_dgate_tspace20) Y
0,1.98173e-11
0.017,3.20106e-11
0.034,5.14388e-11
0.051,8.22344e-11
0.068,1.30822e-10
0.085,2.072e-10
0.102,3.26988e-10
0.119,5.14722e-10
0.136,8.09167e-10
0.153,1.27196e-09
0.17,2.00149e-09
0.187,3.15555e-09
0.204,4.9876e-09
0.221,7.90597e-09
0.238,1.25657e-08
0.255,2.00152e-08
0.272,3.19034e-08
0.289,5.08892e-08
0.306,8.13842e-08
0.323,1.30478e-07
0.34,2.09522e-07
0.357,3.36809e-07
0.374,5.41243e-07
0.391,8.67825e-07
0.408,1.3848e-06
0.425,2.19157e-06
0.442,3.42472e-06
0.459,5.25693e-06
0.476,7.88341e-06
0.493,1.14945e-05
0.51,1.62431e-05
0.527,2.22196e-05
0.544,2.9446e-05
0.561,3.78857e-05
0.578,4.7461e-05
0.595,5.8071e-05
0.612,6.9605e-05
0.629,8.19516e-05
0.646,9.50041e-05
0.663,0.000108663
0.68,0.000122836
0.697,0.000137441
0.714,0.000152402
0.731,0.000167653
0.748,0.000183132
0.765,0.000198788
0.782,0.00021457
0.799,0.000230438
0.816,0.000246354
0.833,0.000262283
0.85,0.000278197
0.867,0.00029407
0.884,0.000309879
0.901,0.000325604
0.918,0.000341228
0.935,0.000356737
0.952,0.000372117
0.969,0.000387358
0.986,0.00040245
1,0.000414762

