Ld_con TotalCurrent(sat_dgate_tspace7) X,Ld_con TotalCurrent(sat_dgate_tspace7) Y
0,5.30044e-06
0.017,6.65648e-06
0.034,8.25586e-06
0.051,1.01147e-05
0.068,1.22458e-05
0.085,1.46581e-05
0.102,1.73579e-05
0.119,2.0349e-05
0.136,2.36335e-05
0.153,2.72125e-05
0.17,3.10871e-05
0.187,3.52585e-05
0.204,3.97291e-05
0.221,4.45026e-05
0.238,4.95849e-05
0.255,5.4984e-05
0.272,6.07107e-05
0.289,6.67788e-05
0.306,7.32055e-05
0.323,8.00117e-05
0.34,8.72218e-05
0.357,9.48644e-05
0.374,0.000102971
0.391,0.000111579
0.408,0.000120725
0.425,0.000130453
0.442,0.000140808
0.459,0.000151845
0.476,0.000163639
0.493,0.000176211
0.51,0.000189108
0.527,0.000202456
0.544,0.000216371
0.561,0.00023088
0.578,0.000245977
0.595,0.000261649
0.612,0.000277874
0.629,0.000294629
0.646,0.000311886
0.663,0.000329618
0.68,0.000347797
0.697,0.000366393
0.714,0.000385381
0.731,0.000404733
0.748,0.000424423
0.765,0.000444425
0.782,0.000464718
0.799,0.000485277
0.816,0.000506085
0.833,0.000527115
0.85,0.000548356
0.867,0.000569785
0.884,0.000591389
0.901,0.000613151
0.918,0.000635055
0.935,0.000657088
0.952,0.000679236
0.969,0.000701489
0.986,0.000723833
1,0.000742296

