Ld_con TotalCurrent(sat_dgate_tspace18) X,Ld_con TotalCurrent(sat_dgate_tspace18) Y
0,6.71599e-11
0.017,1.1015e-10
0.034,1.8005e-10
0.051,2.93259e-10
0.068,4.75884e-10
0.085,7.6934e-10
0.102,1.23901e-09
0.119,1.98807e-09
0.136,3.17894e-09
0.153,5.06734e-09
0.17,8.05651e-09
0.187,1.27829e-08
0.204,2.02551e-08
0.221,3.20727e-08
0.238,5.07799e-08
0.255,8.04191e-08
0.272,1.27415e-07
0.289,2.01919e-07
0.306,3.19837e-07
0.323,5.05824e-07
0.34,7.97176e-07
0.357,1.24859e-06
0.374,1.93656e-06
0.391,2.95827e-06
0.408,4.42581e-06
0.425,6.48075e-06
0.442,9.2637e-06
0.459,1.28981e-05
0.476,1.74924e-05
0.493,2.3114e-05
0.51,2.97946e-05
0.527,3.75324e-05
0.544,4.62979e-05
0.561,5.60411e-05
0.578,6.66986e-05
0.595,7.81987e-05
0.612,9.04665e-05
0.629,0.000103426
0.646,0.000117005
0.663,0.000131132
0.68,0.00014574
0.697,0.000160769
0.714,0.00017616
0.731,0.000191861
0.748,0.000207823
0.765,0.000224004
0.782,0.000240362
0.799,0.000256862
0.816,0.000273471
0.833,0.000290159
0.85,0.000306899
0.867,0.000323667
0.884,0.000340442
0.901,0.000357203
0.918,0.000373933
0.935,0.000390617
0.952,0.000407238
0.969,0.000423785
0.986,0.000440246
1,0.00045373

