Ld_con TotalCurrent(sat_dgate_tspace17) X,Ld_con TotalCurrent(sat_dgate_tspace17) Y
0,1.66713e-10
0.017,2.75438e-10
0.034,4.53935e-10
0.051,7.46128e-10
0.068,1.22293e-09
0.085,1.99846e-09
0.102,3.25558e-09
0.119,5.28595e-09
0.136,8.55371e-09
0.153,1.37932e-08
0.17,2.2163e-08
0.187,3.54838e-08
0.204,5.66009e-08
0.221,8.99436e-08
0.238,1.42357e-07
0.255,2.24317e-07
0.272,3.5164e-07
0.289,5.47739e-07
0.306,8.46465e-07
0.323,1.29508e-06
0.34,1.9571e-06
0.357,2.914e-06
0.374,4.26495e-06
0.391,6.1235e-06
0.408,8.61053e-06
0.425,1.18276e-05
0.442,1.57886e-05
0.459,2.06188e-05
0.476,2.63784e-05
0.493,3.31111e-05
0.51,4.08228e-05
0.527,4.94975e-05
0.544,5.91024e-05
0.561,6.95922e-05
0.578,8.09124e-05
0.595,9.30033e-05
0.612,0.000105802
0.629,0.000119247
0.646,0.000133275
0.663,0.000147827
0.68,0.000162847
0.697,0.00017828
0.714,0.000194076
0.731,0.00021019
0.748,0.000226579
0.765,0.000243202
0.782,0.000260025
0.799,0.000277015
0.816,0.00029414
0.833,0.000311374
0.85,0.000328691
0.867,0.000346069
0.884,0.000363486
0.901,0.000380924
0.918,0.000398364
0.935,0.000415792
0.952,0.000433191
0.969,0.000450549
0.986,0.000467853
1,0.000482055

