Ld_con TotalCurrent(sat_dgate_tspace13) X,Ld_con TotalCurrent(sat_dgate_tspace13) Y
0,2.45817e-08
0.017,3.85555e-08
0.034,6.01393e-08
0.051,9.32325e-08
0.068,1.43548e-07
0.085,2.19314e-07
0.102,3.32141e-07
0.119,4.98009e-07
0.136,7.38272e-07
0.153,1.08045e-06
0.17,1.55859e-06
0.187,2.21275e-06
0.204,3.08769e-06
0.221,4.23058e-06
0.238,5.68828e-06
0.255,7.50499e-06
0.272,9.72068e-06
0.289,1.23708e-05
0.306,1.5487e-05
0.323,1.90991e-05
0.34,2.32369e-05
0.357,2.79309e-05
0.374,3.32167e-05
0.391,3.91339e-05
0.408,4.57277e-05
0.425,5.3049e-05
0.442,6.11641e-05
0.459,7.01683e-05
0.476,7.98364e-05
0.493,8.98499e-05
0.51,0.000100547
0.527,0.000111984
0.544,0.000124148
0.561,0.000137016
0.578,0.000150559
0.595,0.000164742
0.612,0.00017953
0.629,0.000194883
0.646,0.000210762
0.663,0.000227127
0.68,0.00024394
0.697,0.000261163
0.714,0.000278761
0.731,0.000296699
0.748,0.000314947
0.765,0.000333475
0.782,0.000352255
0.799,0.00037126
0.816,0.000390469
0.833,0.000409857
0.85,0.000429406
0.867,0.000449095
0.884,0.000468906
0.901,0.000488824
0.918,0.000508831
0.935,0.000528915
0.952,0.000549061
0.969,0.000569255
0.986,0.000589486
1,0.000606166

