Tspace,Cgg,Cdg,Ilow ,Ihigh,Ieff,Cin,Cout,Ceff,Ceff with load,Tau,Tau with load
2,1.08E-15,2.95E-16,0.000347,0.000934,0.0006405,3.24E-15,8.85E-16,5.01E-15,1.05E-13,1.60E-18,3.36E-17
6,1.09E-15,2.25E-16,0.0002041,0.0007684,0.00048625,3.26E-15,6.76E-16,4.61E-15,1.05E-13,1.12E-18,2.54E-17
10,1.18E-15,2.06E-16,0.0001378,0.0006881,0.00041295,3.53E-15,6.19E-16,4.76E-15,1.05E-13,9.83E-19,2.16E-17
14,1.02E-15,1.49E-16,8.85E-05,5.89E-04,3.39E-04,3.06E-15,4.47E-16,3.95E-15,1.04E-13,6.69E-19,1.76E-17
18,9.81E-16,1.45E-16,3.83E-05,4.98E-04,0.000268159,2.94E-15,4.34E-16,3.81E-15,1.04E-13,5.11E-19,1.39E-17
22,9.26E-16,1.41E-16,1.95E-05,4.48E-04,0.000233707,2.78E-15,4.24E-16,3.63E-15,1.04E-13,4.24E-19,1.21E-17
26,6.55E-16,1.16E-16,1.96E-05,3.18E-04,0.000168634,1.97E-15,3.49E-16,2.66E-15,1.03E-13,2.24E-19,8.66E-18
30,4.30E-16,9.96E-17,7.83E-06,1.31E-04,6.92635E-05,1.29E-15,2.99E-16,1.89E-15,1.02E-13,6.54E-20,3.53E-18
