Tspace,Cgg,Cdg,Ilow ,Ihigh,Ieff,Cin,Cout,Ceff,Ceff with load,Tau,Tau with load
2,1.00E-15,-2.61E-16,0.0003477,0.0009336,0.00064065,3.01E-15,-7.84E-16,1.4421E-15,1.01442E-13,1.13E-12,7.92E-11
6,1.00E-15,-2.03E-16,0.000205,0.0007694,0.0004872,3.01E-15,-7.84E-16,1.4457E-15,1.01446E-13,1.48E-12,1.04E-10
10,1.07E-15,-1.86E-16,1.39E-04,6.90E-04,0.0004144,3.01E-15,-6.10E-16,1.7925E-15,1.01793E-13,2.16E-12,1.23E-10
14,9.40E-16,-1.32E-16,8.86E-05,5.92E-04,0.00034037,3.21E-15,-5.59E-16,2.0928E-15,1.02093E-13,3.07E-12,1.50E-10
18,8.91E-16,-1.27E-16,4.29E-05,4.99E-04,0.000270883,2.82E-15,-3.95E-16,2.0301E-15,1.0203E-13,3.75E-12,1.88E-10
22,8.31E-16,-1.22E-16,2.18E-05,4.43E-04,0.000232209,2.67E-15,-3.81E-16,1.90992E-15,1.0191E-13,4.11E-12,2.19E-10
26,5.90E-16,-1.01E-16,2.20E-05,3.03E-04,0.000162535,2.49E-15,-3.67E-16,1.75806E-15,1.01758E-13,5.41E-12,3.13E-10
30,3.85E-16,-8.37E-17,8.50E-06,1.30E-04,6.91975E-05,1.77E-15,-3.03E-16,1.16274E-15,1.01163E-13,8.40E-12,7.31E-10
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
