Ld_con TotalCurrent(sat_dgate_tspace16) X,Ld_con TotalCurrent(sat_dgate_tspace16) Y
0,5.14023e-10
0.017,8.53917e-10
0.034,1.41585e-09
0.051,2.34269e-09
0.068,3.86716e-09
0.085,6.36692e-09
0.102,1.04514e-08
0.119,1.70968e-08
0.136,2.78553e-08
0.153,4.51667e-08
0.17,7.28174e-08
0.187,1.16583e-07
0.204,1.85105e-07
0.221,2.90986e-07
0.238,4.52121e-07
0.255,6.93127e-07
0.272,1.04685e-06
0.289,1.55571e-06
0.306,2.27265e-06
0.323,3.26193e-06
0.34,4.59888e-06
0.357,6.36879e-06
0.374,8.66487e-06
0.391,1.15845e-05
0.408,1.52259e-05
0.425,1.96823e-05
0.442,2.50147e-05
0.459,3.10341e-05
0.476,3.79023e-05
0.493,4.56632e-05
0.51,5.43296e-05
0.527,6.38791e-05
0.544,7.42804e-05
0.561,8.54941e-05
0.578,9.74745e-05
0.595,0.000110171
0.612,0.000123532
0.629,0.000137503
0.646,0.000152033
0.663,0.000167068
0.68,0.00018256
0.697,0.000198462
0.714,0.00021473
0.731,0.000231322
0.748,0.000248201
0.765,0.000265329
0.782,0.000282675
0.799,0.000300209
0.816,0.000317902
0.833,0.000335729
0.85,0.000353666
0.867,0.000371692
0.884,0.000389786
0.901,0.00040793
0.918,0.000426107
0.935,0.000444302
0.952,0.000462499
0.969,0.000480685
0.986,0.000498847
1,0.000513778

