Ld_con TotalCurrent(sat_dgate_tspace10) X,Ld_con TotalCurrent(sat_dgate_tspace10) Y
0,6.50643e-07
0.017,9.07791e-07
0.034,1.25433e-06
0.051,1.71474e-06
0.068,2.31697e-06
0.085,3.09162e-06
0.102,4.07066e-06
0.119,5.28588e-06
0.136,6.76721e-06
0.153,8.54145e-06
0.17,1.06314e-05
0.187,1.30556e-05
0.204,1.5829e-05
0.221,1.89635e-05
0.238,2.24693e-05
0.255,2.63561e-05
0.272,3.06345e-05
0.289,3.53171e-05
0.306,4.04191e-05
0.323,4.596e-05
0.34,5.19634e-05
0.357,5.84581e-05
0.374,6.54781e-05
0.391,7.30627e-05
0.408,8.12568e-05
0.425,9.01114e-05
0.442,9.96864e-05
0.459,0.000110062
0.476,0.00012135
0.493,0.000133026
0.51,0.000145138
0.527,0.000157868
0.544,0.000171261
0.561,0.000185318
0.578,0.000200024
0.595,0.000215356
0.612,0.000231287
0.629,0.000247785
0.646,0.000264817
0.663,0.000282348
0.68,0.000300347
0.697,0.000318779
0.714,0.000337613
0.731,0.000356819
0.748,0.000376368
0.765,0.000396233
0.782,0.000416388
0.799,0.00043681
0.816,0.000457477
0.833,0.000478368
0.85,0.000499464
0.867,0.000520747
0.884,0.0005422
0.901,0.000563809
0.918,0.000585557
0.935,0.000607432
0.952,0.000629422
0.969,0.000651513
0.986,0.000673696
1,0.000692024

